noms,annees,remuneration,type
abad-damien,2015.0,0.0,Brut
abad-damien,2016.0,0.0,Brut
abad-damien,2017.0,0.0,Brut
abad-damien,2017.0,0.0,Brut
abad-damien,2018.0,0.0,Brut
abad-damien,2019.0,0.0,Brut
abad-damien,2012.0,36185.0,Net
abad-damien,2013.0,50262.0,Net
abad-damien,2014.0,49901.0,Net
abad-damien,2015.0,55506.0,Net
abad-damien,2016.0,49483.0,Net
abad-damien,2017.0,49483.0,Net
abad-damien,2015.0,16865.0,Net
abad-damien,2016.0,23035.0,Net
abad-damien,2017.0,20120.0,Net
breton-xavier,2011.0,0.0,Net
breton-xavier,2012.0,0.0,Net
breton-xavier,2013.0,0.0,Net
breton-xavier,2014.0,0.0,Net
breton-xavier,2015.0,0.0,Net
breton-xavier,2016.0,0.0,Net
breton-xavier,2017.0,0.0,Net
breton-xavier,2016.0,23810.0,Net
breton-xavier,2017.0,13285.0,Net
de-la-verpilliere-charles,2012.0,2160.0,Net
de-la-verpilliere-charles,2013.0,1140.0,Net
de-la-verpilliere-charles,2014.0,-2754.0,Net
de-la-verpilliere-charles,2015.0,-1913.0,Net
de-la-verpilliere-charles,2016.0,1083.0,Net
de-la-verpilliere-charles,2017.0,0.0,Net
de-la-verpilliere-charles,2012.0,0.0,Net
de-la-verpilliere-charles,2013.0,0.0,Net
de-la-verpilliere-charles,2014.0,0.0,Net
de-la-verpilliere-charles,2015.0,0.0,Net
de-la-verpilliere-charles,2016.0,0.0,Net
de-la-verpilliere-charles,2017.0,0.0,Net
de-la-verpilliere-charles,2015.0,28982.0,Brut
de-la-verpilliere-charles,2016.0,28688.0,Brut
de-la-verpilliere-charles,2017.0,14382.0,Brut
de-la-verpilliere-charles,2014.0,5809.0,Brut
de-la-verpilliere-charles,2015.0,6226.0,Brut
de-la-verpilliere-charles,2016.0,6812.0,Brut
de-la-verpilliere-charles,2017.0,3414.0,Brut
de-la-verpilliere-charles,2015.0,0.0,Brut
de-la-verpilliere-charles,2016.0,0.0,Brut
de-la-verpilliere-charles,2017.0,0.0,Brut
givernet-olga,2011.0,69975.0,Net
givernet-olga,2012.0,62806.0,Net
givernet-olga,2013.0,61658.0,Net
givernet-olga,2014.0,55842.0,Net
givernet-olga,2015.0,30210.0,Net
givernet-olga,2015.0,10450.0,Net
givernet-olga,2016.0,6931.0,Net
givernet-olga,2014.0,1917.0,Net
givernet-olga,2015.0,2525.0,Net
givernet-olga,2016.0,2617.0,Net
givernet-olga,2017.0,1277.0,Net
givernet-olga,2016.0,25041.0,Net
givernet-olga,2017.0,12836.0,Net
trompille-stephane,2012.0,23829.0,Net
trompille-stephane,2013.0,25659.0,Net
trompille-stephane,2014.0,23558.0,Net
trompille-stephane,2015.0,21554.0,Net
trompille-stephane,2016.0,23129.0,Net
trompille-stephane,2017.0,25344.0,Net
trompille-stephane,2017.0,0.0,Net
trompille-stephane,2016.0,78.0,Net
trompille-stephane,2017.0,78.0,Net
trompille-stephane,2018.0,0.0,Net
dufregne-jean-paul,2011.0,0.0,Net
dufregne-jean-paul,2012.0,0.0,Net
dufregne-jean-paul,2013.0,0.0,Net
dufregne-jean-paul,2014.0,0.0,Net
dufregne-jean-paul,2015.0,0.0,Net
dufregne-jean-paul,2015.0,0.0,Net
dufregne-jean-paul,2016.0,0.0,Net
dufregne-jean-paul,2017.0,0.0,Net
dufregne-jean-paul,2012.0,57146.0,Net
dufregne-jean-paul,2013.0,56753.0,Net
dufregne-jean-paul,2014.0,62047.0,Net
dufregne-jean-paul,2015.0,31160.0,Net
dufregne-jean-paul,2016.0,23106.0,Net
dufregne-jean-paul,2017.0,8921.0,Net
dufregne-jean-paul,2014.0,7825.0,Net
dufregne-jean-paul,2015.0,6289.0,Net
dufregne-jean-paul,2016.0,5232.0,Net
dufregne-jean-paul,2017.0,2566.0,Net
dufregne-jean-paul,2014.0,9673.0,Net
dufregne-jean-paul,2015.0,13465.0,Net
dufregne-jean-paul,2016.0,13424.0,Net
dufregne-jean-paul,2017.0,4690.0,Net
dufregne-jean-paul,2012.0,1866.0,Net
dufregne-jean-paul,2013.0,1772.0,Net
dufregne-jean-paul,2014.0,431.0,Net
dufregne-jean-paul,2015.0,0.0,Net
dufregne-jean-paul,2016.0,0.0,Net
dufregne-jean-paul,2017.0,0.0,Net
peyrol-benedicte,2013.0,5756.0,Net
peyrol-benedicte,2014.0,12070.0,Net
peyrol-benedicte,2013.0,1215.0,Net
peyrol-benedicte,2014.0,7147.0,Net
peyrol-benedicte,2014.0,5356.0,Net
peyrol-benedicte,2015.0,10128.0,Net
peyrol-benedicte,2015.0,3667.0,Net
peyrol-benedicte,2016.0,30028.0,Net
peyrol-benedicte,2017.0,23251.0,Net
peyrol-benedicte,2015.0,2541.0,Net
vanceunebrock-mialon-laurence,2011.0,27333.0,Net
vanceunebrock-mialon-laurence,2012.0,28552.0,Net
vanceunebrock-mialon-laurence,2013.0,28679.0,Net
vanceunebrock-mialon-laurence,2014.0,25775.0,Net
vanceunebrock-mialon-laurence,2015.0,23389.0,Net
vanceunebrock-mialon-laurence,2016.0,23613.0,Net
vanceunebrock-mialon-laurence,2017.0,11827.0,Net
brun-fabrice,2014.0,0.0,Brut
brun-fabrice,2015.0,1858.0,Brut
brun-fabrice,2016.0,3768.0,Brut
brun-fabrice,2017.0,3772.0,Brut
brun-fabrice,2011.0,0.0,Brut
brun-fabrice,2012.0,0.0,Brut
brun-fabrice,2013.0,0.0,Brut
brun-fabrice,2014.0,0.0,Brut
brun-fabrice,2015.0,0.0,Brut
brun-fabrice,2016.0,0.0,Brut
saulignac-herve-8266,2015.0,0.0,Brut
saulignac-herve-8266,2016.0,0.0,Brut
saulignac-herve-8266,2017.0,0.0,Brut
saulignac-herve-8266,2012.0,33962.0,Brut
saulignac-herve-8266,2013.0,58520.0,Brut
saulignac-herve-8266,2014.0,59783.0,Brut
saulignac-herve-8266,2015.0,60539.0,Brut
saulignac-herve-8266,2016.0,66343.0,Brut
